Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
1/7/2008,Melbourne,9.5,15.4,2,2.8,7,W,63,W,W,37,35,60,38,1006.8,1010.3,1,7,11,14.6,Yes,No
2/7/2008,Melbourne,11,14.5,0.6,5.2,4,W,63,W,WSW,30,35,66,52,1013.4,1016.2,7,4,11.8,13.7,No,Yes
3/7/2008,Melbourne,8.4,14.1,1.4,2,0.8,W,39,W,W,17,24,72,58,1024.8,1024.3,7,7,10.6,13.9,Yes,No
4/7/2008,Melbourne,9.1,14.5,0.6,1.8,4.2,E,19,NNW,N,9,7,87,49,1030.2,1029,7,6,10.2,13.1,No,No
5/7/2008,Melbourne,4.3,15.5,0,0.8,8.4,N,52,N,NNE,24,30,81,52,1028.9,1024.9,2,5,5.5,14.6,No,No
6/7/2008,Melbourne,5.5,15.4,0,2.8,3,N,74,N,NNW,31,44,68,48,1023.1,1020.1,6,6,11.6,14.6,No,No
8/7/2008,Melbourne,6.9,10.4,5,1.2,0.3,N,37,N,N,13,11,80,71,1017.1,1017,8,7,7.3,10.3,Yes,Yes
9/7/2008,Melbourne,3.6,14.8,1.2,0.4,6.5,N,35,N,WSW,11,17,95,61,1023.1,1019.6,1,7,4.2,13.1,Yes,Yes
12/7/2008,Melbourne,6.6,11.3,0,2,0,N,91,N,N,22,46,68,53,1023.2,1018.5,7,8,8.4,10.3,No,No
13/7/2008,Melbourne,8.4,14.3,0,3.8,4.2,N,87,N,N,33,44,49,55,1017.1,1014.4,7,4,11.3,13.8,No,No
14/7/2008,Melbourne,7.4,18.9,0,2.6,9.4,N,54,SSW,N,7,26,78,24,1017.4,1016.2,1,5,8.5,17.9,No,No
16/7/2008,Melbourne,6.2,16.4,0,2.6,8.3,N,43,N,N,19,30,86,55,1022.2,1018.7,1,6,7.5,14.1,No,No
17/7/2008,Melbourne,7.5,13.6,0,1.8,1,N,59,N,N,35,30,70,47,1013.5,1009.2,7,7,11.4,13.4,No,No
19/7/2008,Melbourne,6.4,14.1,1.6,1.4,1.4,N,72,N,N,33,43,74,55,1012.5,1009.2,7,7,8.3,13,Yes,No
26/7/2008,Melbourne,4.7,13.3,0,2,4,N,41,N,NNE,24,20,79,54,1017.3,1013.7,4,7,6.6,12.8,No,Yes
27/7/2008,Melbourne,6.6,10.2,8.2,2,0,S,31,WSW,SSW,11,13,91,80,1013.5,1012.5,7,7,7.8,9.9,Yes,Yes
29/7/2008,Melbourne,3.4,14.4,0,1.2,7.6,N,33,N,ESE,11,6,84,45,1023,1017.6,1,7,4.8,13.7,No,No
30/7/2008,Melbourne,4.4,15.2,0,1.4,7.5,N,56,N,NNE,28,31,76,41,1015.5,1012.1,1,3,6.5,14.6,No,No
31/7/2008,Melbourne,6.5,15.4,0.4,3.2,4.7,N,69,N,N,41,41,64,46,1011.6,1006.9,6,6,9.7,15.2,No,No
3/8/2008,Melbourne,7.9,14.9,0,1.4,5,N,52,N,N,22,30,69,54,1019.2,1015.7,2,4,10,13.7,No,No
7/8/2008,Melbourne,6.8,15.4,0,1.8,5.7,W,41,SSW,S,2,15,70,52,1017.6,1017,6,6,9,14.5,No,No
12/8/2008,Melbourne,7.3,13.2,0.6,1.8,4.5,W,63,NNW,W,13,26,60,69,1020.2,1019,6,7,9.8,12.6,No,Yes
22/8/2008,Melbourne,5.9,12.8,14,1,5.7,S,46,SW,S,17,31,65,55,1025.3,1025.7,5,7,9.4,11.7,Yes,No
24/8/2008,Melbourne,7.4,14.2,0.2,0.8,0.2,W,20,WSW,SSE,17,9,75,46,1031.9,1029.8,7,6,10.5,13.6,No,No
25/8/2008,Melbourne,3.2,14.3,0,1.6,5.1,N,37,N,N,19,26,75,48,1028.1,1023.5,2,7,6,13.3,No,No
26/8/2008,Melbourne,5.9,17.3,0,3.2,6,W,46,N,WSW,28,26,45,32,1020.9,1021.1,3,5,12.1,16.2,No,No
29/8/2008,Melbourne,7.3,19.3,0.4,1.4,10,N,41,N,NNE,19,22,81,32,1025.8,1020.9,1,3,8.9,18.4,No,No
30/8/2008,Melbourne,8.6,18.2,0,4,1.9,N,80,NNE,N,37,41,51,46,1015.7,1009.7,7,7,14.1,16.2,No,No
2/9/2008,Melbourne,10.1,17.2,0.8,3.8,4.9,N,43,N,SSW,11,17,77,55,1025.8,1027.2,7,7,11.5,14.1,No,No
9/9/2008,Melbourne,10.3,14.6,0.2,3,0.3,S,30,SW,SSE,13,17,47,43,1028.2,1025.9,7,7,11.4,13.9,No,No
10/9/2008,Melbourne,6,19.7,0,2.2,9.2,N,44,N,NNE,7,17,62,29,1022.8,1017.2,6,1,9.4,18.5,No,No
11/9/2008,Melbourne,9.3,18.9,0,5,5.7,N,67,N,N,46,39,32,24,1014.8,1009.9,4,7,14.5,17.3,No,No
12/9/2008,Melbourne,14,24.5,0,11.4,6.9,N,91,N,N,65,39,36,31,1004.2,1000.6,6,3,17.4,23.1,No,No
13/9/2008,Melbourne,16.3,25.5,0,6.4,10.7,N,70,N,N,43,39,45,27,1008.6,1003.7,8,0,17.9,25.3,No,No
17/9/2008,Melbourne,4.8,18.4,0,2.8,10.7,N,39,N,NNE,11,19,61,37,1026,1020.9,3,2,10.4,17.4,No,No
18/9/2008,Melbourne,8.9,18.9,0,4.6,3.8,N,69,N,N,37,41,45,29,1016.5,1011.6,7,8,14.6,18.2,No,No
20/9/2008,Melbourne,10.8,19.2,0.2,7.4,7.9,W,63,NNW,W,31,33,54,26,1008.4,1008.9,7,6,14.8,17.8,No,No
21/9/2008,Melbourne,6.5,19.8,0.4,4.2,10.6,N,69,NNW,N,26,46,48,32,1015.8,1010.9,1,3,13,19.4,No,No
22/9/2008,Melbourne,12.9,23.1,0,10.6,3.8,N,83,N,WSW,56,31,31,85,1000.3,1000.1,6,8,18.8,13.9,No,Yes
23/9/2008,Melbourne,5.1,18.2,6.4,4.4,9.3,W,54,WSW,WSW,39,28,58,34,1018.2,1020.4,3,7,12.5,17.4,Yes,No
25/9/2008,Melbourne,8,23.4,0,4.8,11.1,N,65,N,N,37,43,41,22,1028.1,1021.3,0,0,16.2,23.2,No,No
26/9/2008,Melbourne,14.7,28.2,0,10,9.1,N,63,N,NW,35,28,41,13,1019.7,1014.7,7,7,17.4,27.9,No,No
28/9/2008,Melbourne,11.6,20.7,0,5.8,7.4,W,61,SW,WSW,20,26,55,35,1014.7,1011.8,7,6,13.8,19.7,No,No
1/10/2008,Melbourne,6.7,22.4,0,4,4.5,N,74,N,NNE,44,37,33,23,1016.8,1010.6,7,7,15.5,20.9,No,No
2/10/2008,Melbourne,14.4,24.5,0,9,11.3,N,56,WSW,NNW,22,11,59,44,1014.5,1011.3,5,1,17.6,22.1,No,No
4/10/2008,Melbourne,11.5,17.6,4.4,4,9.1,S,39,SSW,SE,15,19,72,35,1017.9,1016.6,7,2,13,16,Yes,No
7/10/2008,Melbourne,8,16,2,4.4,2.5,W,46,W,SW,22,26,64,45,1020,1017.9,7,7,10.3,15.9,Yes,No
11/10/2008,Melbourne,9.7,27.9,0,6.4,9.8,N,52,N,NW,31,28,62,18,1025.1,1021.1,2,4,14.7,27.1,No,No
12/10/2008,Melbourne,14.2,30.6,0,9.6,7.1,N,63,N,NNW,37,37,27,14,1019.4,1015.1,7,5,20.5,29.5,No,No
13/10/2008,Melbourne,15.7,19.3,0,14.2,4.9,N,59,SW,SSW,30,20,61,38,1015.9,1017.9,7,2,16.1,19.2,No,No
15/10/2008,Melbourne,9.9,20.1,0,4.8,8.6,S,39,SW,S,22,20,68,46,1026.1,1024.4,5,3,13,19.2,No,No
16/10/2008,Melbourne,12.3,20.6,0,4.4,9.5,S,33,SSW,S,6,22,64,46,1025.8,1022.6,7,1,14.3,19.1,No,No
17/10/2008,Melbourne,10.7,22.7,0,4.2,12,S,35,N,S,7,24,69,52,1023.4,1021.3,1,0,14.5,20.9,No,Yes
18/10/2008,Melbourne,12.3,31.7,1.6,3.6,7,N,59,N,NNW,41,33,38,14,1019.6,1017.3,7,5,20.1,30.3,Yes,No
20/10/2008,Melbourne,11.6,17.5,0,5,8.4,S,46,S,S,24,28,46,41,1026.8,1026.2,7,2,13.5,16.2,No,No
21/10/2008,Melbourne,11.1,17.5,0,5.2,5.9,S,56,SW,S,26,33,44,49,1028,1027.4,7,5,13.6,15.9,No,Yes
24/10/2008,Melbourne,10.3,25.3,0,5.8,5.1,N,46,N,N,22,26,55,18,1021.4,1016.9,7,5,14,24.6,No,No
25/10/2008,Melbourne,11.9,28.9,0,12,6.9,N,72,N,N,54,35,16,14,1012.5,1009.7,5,7,21.6,27.8,No,No
26/10/2008,Melbourne,21.5,30.5,0,14.8,1.6,N,72,N,NNE,30,30,30,20,1010.8,1006.1,8,7,24,28.9,No,No
28/10/2008,Melbourne,13,19.3,2.2,6.8,6.3,S,41,SSW,SSW,15,20,65,47,1023.1,1022.9,7,3,14.6,18.6,Yes,No
30/10/2008,Melbourne,13.2,29.9,0,6,4.6,N,76,N,N,39,56,57,38,1013.9,1007.5,8,6,20.4,26.8,No,No
1/11/2008,Melbourne,12.4,18.4,0.2,4.4,3.4,S,37,S,SSE,17,20,62,58,1024.8,1023.2,7,6,13.5,17.1,No,No
2/11/2008,Melbourne,12.5,29.1,0,4.4,8.6,N,57,N,NW,37,24,68,26,1018.2,1012.9,7,7,16.8,28.3,No,Yes
3/11/2008,Melbourne,14.6,18.3,2.8,6.6,0.2,N,56,SW,SSW,31,31,72,73,1014.2,1015.7,8,7,15.7,16.4,Yes,Yes
4/11/2008,Melbourne,10.7,17.3,2,4,10.5,S,48,SSE,S,28,19,45,50,1021.8,1018.3,6,1,12,15.3,Yes,No
7/11/2008,Melbourne,12.5,21.5,0,6.4,0,N,87,N,N,24,46,70,75,1008.1,1003.1,7,8,15.7,16.4,No,Yes
11/11/2008,Melbourne,12.9,32,0,6,12.6,N,41,N,NNW,7,19,64,33,1020.4,1014.8,1,6,17.6,27.9,No,No
13/11/2008,Melbourne,20.7,34.2,0,14.2,2.1,W,78,N,N,48,50,23,16,1008.8,1006.3,7,7,28.2,32.1,No,Yes
14/11/2008,Melbourne,14.9,21.4,10.2,11.2,6.5,S,35,SSW,S,13,20,85,52,1012,1012,8,4,15.2,20.6,Yes,No
22/11/2008,Melbourne,7.9,15.5,5.8,6.4,6.1,S,72,WSW,SSW,41,35,78,50,996.9,998.1,8,7,9.5,13.6,Yes,Yes
25/11/2008,Melbourne,10.3,26.2,0,4.4,13.3,S,39,W,ENE,7,11,63,37,1013.8,1011.2,1,1,15.3,25,No,No
26/11/2008,Melbourne,11.9,29.8,0,7.4,11.4,N,54,E,N,7,22,59,27,1010.9,1006.4,3,6,17.6,28.2,No,No
27/11/2008,Melbourne,17.4,30.6,0,11.2,6.4,N,72,N,N,48,35,47,36,1004.5,1000.9,7,7,23.5,29.1,No,No
4/12/2008,Melbourne,10.4,25.6,0,5.8,5.8,N,39,E,NNE,9,24,52,27,1018.9,1012.7,5,7,15.2,24.6,No,No
8/12/2008,Melbourne,11.4,22.4,0,8,11.9,S,37,S,S,13,24,61,41,1015.4,1011.5,6,3,13.5,20.3,No,No
9/12/2008,Melbourne,11.5,19.5,0,5.6,0,S,41,WSW,S,13,20,72,85,1007.6,1008.1,7,8,15.6,15.7,No,Yes
10/12/2008,Melbourne,13.1,19.6,4.8,1.2,10.3,S,48,SSE,S,28,30,57,42,1013.7,1012.8,7,1,14.4,17.9,Yes,No
11/12/2008,Melbourne,11.9,22.8,0,6.4,13.2,S,37,SSE,S,19,24,58,54,1015.6,1012.3,2,1,15.8,20.6,No,No
12/12/2008,Melbourne,14.1,22.5,0,8,0.3,N,59,N,ENE,24,15,68,82,1007.4,1003.7,8,8,18.1,18.5,No,Yes
15/12/2008,Melbourne,13.2,21.4,0.8,5.8,5.7,S,35,WSW,W,24,13,54,41,1013,1012.1,8,7,13.9,18.1,No,No
21/12/2008,Melbourne,12.5,30.4,0,6,10.8,N,48,N,NNE,22,26,67,25,1018.8,1014.1,1,2,17.3,28.5,No,No
22/12/2008,Melbourne,17.3,35.2,0,14.8,7.5,N,85,N,NNW,48,41,36,22,1008.1,1003.4,7,7,25.2,33.2,No,No
26/12/2008,Melbourne,13.9,28.9,0,7.8,9.9,S,67,N,SE,22,17,58,43,1010.1,1008.5,6,7,20.1,24.8,No,No
